date,national_demand,wind_generation,solar_generation,daily_average_forecast_carbon_intensity,daily_average_actual_carbon_intensity,sap_actual_p_per_kwh,sap_7day_rolling_average_p_per_kwh,day,month,weekday,weekday_number,is_weekend
2023-06-01,22907.0625,1405.4166666666667,2530.0,129.10416666666666,129.29166666666666,2.0401,2.0932,1,6,Thursday,3,False
2023-06-02,21421.645833333332,1141.6458333333333,3557.1458333333335,131.64583333333334,134.375,1.9442,2.0844,2,6,Friday,4,False
2023-06-03,18828.291666666668,835.2291666666666,3747.1875,124.5,124.41666666666667,1.9227,2.0779,3,6,Saturday,5,True
2023-06-04,18681.4375,842.2083333333334,3752.0208333333335,133.10416666666666,133.5,2.009,2.0478,4,6,Sunday,6,True
2023-06-05,22691.875,928.125,2781.8125,176.5625,175.91666666666666,2.3043,2.0361,5,6,Monday,0,False
2023-06-06,23936.395833333332,1015.9375,1897.4791666666667,191.29166666666666,192.0,2.2804,2.0661,6,6,Tuesday,1,False
2023-06-07,23022.5625,1094.0833333333333,3070.6041666666665,158.75,164.64583333333334,2.2317,2.0952,7,6,Wednesday,2,False
2023-06-08,21826.770833333332,1622.4583333333333,3569.0208333333335,123.45833333333333,144.70833333333334,2.2173,2.1046,8,6,Thursday,3,False
2023-06-09,21394.6875,1756.8541666666667,3498.4166666666665,111.25,112.875,2.5993,2.1299,9,6,Friday,4,False
2023-06-10,20107.770833333332,1463.4583333333333,3037.5,85.14583333333333,87.02083333333333,2.7737,2.2235,10,6,Saturday,5,True
2023-06-11,20743.791666666668,657.0416666666666,2761.0416666666665,166.27083333333334,170.77083333333334,2.8773,2.3451,11,6,Sunday,6,True
2023-06-12,24144.479166666668,544.7083333333334,2942.4166666666665,213.5,215.10416666666666,2.7726,2.4691,12,6,Monday,0,False
2023-06-13,23095.666666666668,1049.4375,3726.3541666666665,182.125,182.39583333333334,2.8777,2.536,13,6,Tuesday,1,False
2023-06-14,22927.5,1117.6666666666667,3865.625,167.6875,172.5,3.2257,2.6214,14,6,Wednesday,2,False
2023-06-15,23338.979166666668,783.875,3677.375,205.91666666666666,209.66666666666666,3.5064,2.7634,15,6,Thursday,3,False
2023-06-16,22983.5,545.5625,3506.8125,221.75,226.125,2.9587,2.9475,16,6,Friday,4,False
2023-06-17,21205.770833333332,630.1875,2400.125,200.6875,203.83333333333334,2.9445,2.9989,17,6,Saturday,5,True
2023-06-18,21191.104166666668,836.0,2071.1875,160.33333333333334,168.4375,2.9119,3.0233,18,6,Sunday,6,True
2023-06-19,22804.145833333332,1471.4375,3142.3541666666665,178.83333333333334,183.20833333333334,2.927,3.0282,19,6,Monday,0,False
2023-06-20,25312.479166666668,750.5,1880.2708333333333,212.47916666666666,212.25,3.26,3.0503,20,6,Tuesday,1,False
2023-06-21,23610.833333333332,1001.7083333333334,3102.4375,217.4375,219.27083333333334,3.2578,3.1049,21,6,Wednesday,2,False
2023-06-22,24225.708333333332,498.8125,3238.2708333333335,236.91666666666666,232.0,2.9917,3.1095,22,6,Thursday,3,False
2023-06-23,23344.270833333332,1370.1875,2687.5416666666665,180.89583333333334,179.47916666666666,2.8461,3.0359,23,6,Friday,4,False
2023-06-24,20488.958333333332,1402.2083333333333,2745.0,121.875,120.95833333333333,2.9502,3.0199,24,6,Saturday,5,True
2023-06-25,19656.458333333332,2026.9583333333333,3137.25,98.72916666666667,103.4375,2.994,3.0207,25,6,Sunday,6,True
2023-06-26,22029.895833333332,1813.7083333333333,3091.625,122.64583333333333,119.77083333333333,2.9258,3.0324,26,6,Monday,0,False
2023-06-27,24670.833333333332,1437.5625,1302.25,175.52083333333334,172.91666666666666,2.9166,3.0322,27,6,Tuesday,1,False
2023-06-28,25245.020833333332,991.0625,1384.1875,208.375,206.29166666666666,2.898,2.9832,28,6,Wednesday,2,False
2023-06-29,23164.208333333332,1146.3958333333333,2985.6875,180.83333333333334,182.375,2.8786,2.9318,29,6,Thursday,3,False
2023-06-30,23466.895833333332,1732.5416666666667,1237.0625,122.02083333333333,123.27083333333333,3.0051,2.9156,30,6,Friday,4,False
2023-07-01,18466.833333333332,3108.7083333333335,2404.5416666666665,68.27083333333333,76.66666666666667,3.251,2.9383,1,7,Saturday,5,True
